,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment,clean_text
0,12,0,3,0,0,0,0,1,sxswnui sxsw appl defin languag touch differ dialect becom smaller
1,19,0,2,0,1,0,0,1,learn ab googl doodl doodl light funni amp innov except signific occas googledoodl sxsw
2,26,1,1,2,0,0,0,2,one face ex steal show yr rt quot sxsw appl school mkt expert quot link
3,20,0,3,1,0,0,0,0,iphon sxsw app would pretti awesom crash everi min extend brows fuckit illmakeitwork
4,14,0,1,1,0,0,0,1,line outsid appl store austin wait new ipad sxsw link
5,19,0,7,2,0,0,0,1,technew one lone dude await ipad appleûª sxsw store link technew appl ipad sxsw tablet tech
6,12,0,2,2,0,0,0,1,sxsw tip princ npr video toy shop zuckerberg link sxsw ipad
7,20,1,4,3,0,0,0,1,nu user rt new ubersoci iphon app store includ uberguid sxsw sponsor mashabl
8,7,0,2,1,0,0,0,2,free sxsw sampler itun link freemus
9,15,0,1,0,0,0,0,2,think might go weekend without see ipad case twice sxsw
10,15,1,4,4,0,0,0,3,rt offici sxsw app û÷sxsw goûª bit ly hmiiga android iphon ipad
11,10,0,2,1,1,0,0,2,offici buy ipad sxsw elev
12,15,1,2,0,0,0,0,2,give away ipad box book sxsw techenvi
13,26,2,2,2,2,0,0,1,rt offici sxsw come grill mention us zazzlsxsw youûªll get make iphon case
14,15,0,7,1,0,0,0,1,compani watch sxsw trade show floor link app featur hardwar ipad iphon
15,16,1,1,1,0,0,0,1,rt googl marissa mayer futur locat augment realiti contextu discoveri make smartphon smarter sxsw
16,27,0,3,2,1,0,0,1,dl calyp app get calyp casa sxsw free mobil app avail itun app store amp android market see
17,22,1,1,1,0,0,0,2,well yeah music gt iphon nerd rt god cute girl everywher love interact end music begin sxsw
18,15,1,5,2,0,0,0,1,appl open pop store sxsw link via appl ipad technolog itun sxsw
19,16,1,2,1,0,0,0,1,atleast sxsw not no ipad doublelos
20,10,1,1,2,0,0,0,1,cue choir music sxsw appl store sxsw link
21,30,0,1,0,2,0,0,1,anyon sxsw want ipad line pick one someon will pay grab
22,22,1,1,0,0,0,0,2,¼ûäü «µ gt gt googl launch major new social network call circl possibl today link sxsw
23,18,2,1,1,1,0,0,2,rt googl throw tchin parti shout spazmat sxsw
24,23,1,2,1,1,0,0,0,iphon hr tweet riseaustin dead need upgrad plugin station sxsw
25,11,0,2,1,1,0,0,1,anyon know googl talk circl sxsw
